Age Range,Weekly Hours of TV,Weekly Hours on Social Media,Longitude,Latitude,Favourite Color,Favourite Protein,Favourite Film Genre,"Favourite Music Genre
 ",Favourite Pet
41-50,15,7,-82.19104,46.490002,Coral,Vegetarian,Drama,pop,dog
18-29,5,4,-82.19104,44.65107,Light Green,Vegetarian,Horror,Classical,Cat
18-29,9,3,-82.19104,45.404476,Ice Blue,Beef,drama,Rock n roll,Cat
18-29,10,19,-117.295425,43.159374,Dark Yellow,Vegetarian/Vegan,Documentary,Rock n roll,fish
50+,13,14,-82.19104,49.895077,Brown,Beef,drama,Jazz,dog
41-50,12,5,-82.19104,43.897545,Automatic,Fish,Horror,Classical,Dog
50+,16,12,-117.295425,33.039139,Dark Green,Vegetarian,Documentary,Rock n roll,Other
18-29,3,18,-71.254028,52.268112,Dark Teal,fish,Romantic Comedy,indie,cat
41-50,8,5,-82.19104,45.826653,Red,Fish,Horror,punk,fish
50+,3,7,-104.93351,43.526646,Dark Pink,Chicken,Comedy,rap,Cat
50+,8,4,-82.19104,46.087818,Turqoise,Chicken,Documentary,rap,Other
30-40,7,2,-82.19104,44.65107,Dark Green,Fish,drama,Pop,Fish
41-50,5,5,-82.19104,45.427944,Light Turquoise,Vegetarian,Documentary,pop,Cat
50+,6,7,-82.19104,44.389355,Sky Blue,fish,Documentary,Rock n roll,cat
18-29,1,1,-82.19104,46.829853,Very Light Yellow,chicken,Horror,hip hop,Other
50+,15,19,-117.295425,42.317432,Sky Blue,Vegan,romantic comedy,latin,Fish
50+,1,4,-82.19104,46.738228,Rose,Chicken,Documentary,Indie,Other
30-40,14,5,-82.19104,45.964993,Chocolate,Beef,Comedy,Rock n roll,Dog
18-29,7,3,-117.295425,42.778828,Lavender,Beef,horror,pop,Fish
41-50,6,14,-82.19104,44.65107,Ice Blue,Vegetarian,comedy,rap,dog
18-29,8,3,-82.19104,46.490002,Grey,Beef,drama,latin,cat
50+,13,18,-82.19104,49.166592,Light Blue,Beef,action,Hip Hop,Dog
41-50,9,20,-82.19104,47.560539,Very Light Yellow,Vegetarian,drama,Latin,Other
41-50,1,1,-82.19104,45.273918,Yellow,Beef,drama,Rock n roll,Cat
41-50,5,9,-82.19104,43.6912,Dark Teal,fish,Comedy,world,Other
41-50,4,20,-82.19104,46.829853,Very Light Yellow,Vegan,Documentary,indie,other
18-29,7,18,-82.19104,46.829853,Tan,Vegetarian,Comedy,hip hop,Dog
30-40,4,17,-117.295425,42.891411,Periwinkle,Fish,comedy,Classical,cat
18-29,6,1,-82.19104,49.489536,Coral,Vegetarian,Horror,latin,cat
30-40,3,1,-82.19104,45.826653,Grey,fish,action,Jazz,Cat
18-29,13,15,-71.254028,50.27179,Ivory,Vegetarian,Drama,rap,fish
30-40,15,9,-82.19104,45.404476,Dark Green,Beef,Comedy,latin,other
50+,14,2,-117.295425,42.317432,Dark Teal,Pork,Romantic Comedy,Rock n roll,Fish
30-40,11,9,-82.19104,49.267132,Dark Yellow,Pork,romantic comedy,latin,cat
18-29,2,19,-117.295425,42.317432,Pink,Beef,romantic comedy,Jazz,Other
30-40,7,20,-82.19104,45.427944,Dark Yellow,Vegetarian,romantic comedy,Punk,Dog
18-29,4,10,-82.19104,45.536945,Periwinkle,Chicken,action,jazz,Dog
41-50,14,2,-71.254028,52.268112,Platinum,Vegetarian,Drama,world,Fish
30-40,13,2,-82.19104,44.389355,Periwinkle,chicken,Action,Indie,Fish
41-50,1,11,-82.19104,49.15794,Very Light Yellow,Pork,Action,punk,cat
41-50,13,16,-117.295425,42.317432,Periwinkle,Beef,Documentary,world,fish
50+,5,8,-82.19104,48.407326,Yellow,Vegan,Drama,Classical,Other
18-29,6,2,-82.19104,44.608246,Teal,Beef,Drama,punk,cat
18-29,2,15,-71.254028,56.732014,Magenta,chicken,romantic comedy,punk,Fish
50+,15,3,-117.295425,42.891411,Dark Green,fish,comedy,Classical,Dog
41-50,8,4,-117.295425,42.778828,Light Orange,Beef,Romantic Comedy,indie,dog
50+,14,16,-71.254028,52.146973,Periwinkle,Vegetarian,Documentary,Rock n roll,Fish
30-40,3,18,-82.19104,45.826653,Ice Blue,Beef,horror,World,fish
30-40,8,16,-117.295425,43.159374,Pink,Vegan,Action,Latin,fish
50+,4,2,-71.254028,52.146973,Light Orange,Beef,Documentary,Rock n roll,cat
30-40,10,20,-82.19104,43.897545,Magenta,Vegan,comedy,Rock n roll,dog
30-40,2,14,-117.295425,43.255203,Coral,Pork,Documentary,Punk,fish
30-40,6,14,-117.295425,42.404804,Black,chicken,Action,world,other
41-50,6,7,-82.19104,44.65107,Cyan,Vegetarian,Documentary,Rock n roll,fish
30-40,4,14,-82.19104,46.738228,Ocean Blue,Vegetarian/Vegan,Action,Jazz,Dog
50+,14,11,-82.19104,48.098709,Sea Green,Pork,action,Hip Hop,Cat
18-29,5,8,-117.295425,43.255203,Chocolate,Vegetarian,drama,Rap,Other
18-29,12,10,-82.19104,45.404476,Plum,Chicken,Action,rap,Cat
41-50,5,9,-82.19104,44.389355,Indigo,chicken,drama,Rock n roll,dog
41-50,3,11,-82.19104,44.389355,Bright Green,Vegetarian/Vegan,Horror,jazz,cat
18-29,13,6,-82.19104,45.273918,Lavender,Vegetarian,Drama,rap,Cat
18-29,13,18,-82.19104,43.6912,Gold,Vegetarian,action,Hip Hop,dog
30-40,8,1,-82.19104,45.404476,Brown,Beef,Action,Pop,dog
50+,1,2,-71.254028,52.146973,Light Green,Fish,Romantic Comedy,world,Fish
41-50,5,8,-82.19104,43.6912,Cyan,Beef,Drama,World,Other
50+,13,9,-82.19104,49.882114,Ice Blue,chicken,horror,Rock n roll,Cat
41-50,11,15,-117.295425,42.404804,Bright Green,Vegan,Romantic Comedy,Latin,Dog
41-50,14,16,-82.19104,47.560539,Dark Green,Pork,Documentary,Jazz,fish
50+,16,17,-117.295425,33.039139,Turqoise,Fish,drama,Rock n roll,Other
41-50,14,19,-82.19104,46.738228,Green,Fish,action,Latin,Other
50+,12,9,-82.19104,48.098709,Platinum,Beef,romantic comedy,Rock n roll,Fish
30-40,7,18,-117.295425,42.404804,Ice Blue,fish,horror,jazz,other
30-40,15,17,-82.19104,47.560539,Indigo,Beef,comedy,jazz,fish
50+,4,16,-104.93351,43.328674,Very Light Yellow,Vegetarian,Drama,latin,Dog
50+,6,20,-71.254028,56.732014,Dark Pink,Beef,Action,Indie,Other
18-29,3,1,-104.93351,43.683334,Indigo,Beef,romantic comedy,Rap,Cat
18-29,13,4,-82.19104,45.536945,Cyan,Vegetarian/Vegan,romantic comedy,indie,other
41-50,9,13,-82.19104,49.895077,Chocolate,Pork,Drama,World,Fish
30-40,2,9,-71.254028,56.732014,Ice Blue,Chicken,Documentary,Classical,Other
50+,11,16,-82.19104,45.964993,Periwinkle,Pork,Comedy,World,Cat
41-50,3,8,-117.295425,42.992157,Turqoise,Fish,Documentary,World,Dog
18-29,6,16,-104.93351,43.328674,Pale Blue,fish,Documentary,rap,cat
41-50,14,11,-82.19104,44.65107,Violet,chicken,Documentary,pop,other
41-50,8,1,-71.254028,50.27179,Turqoise,Beef,Romantic Comedy,Rap,dog
30-40,11,9,-104.93351,43.683334,Teal,Chicken,Horror,jazz,Other
30-40,4,20,-71.254028,56.732014,Platinum,Fish,action,pop,cat
30-40,10,14,-82.19104,45.427944,Turqoise,Beef,Comedy,punk,Dog
30-40,6,10,-117.295425,42.992157,Sky Blue,Beef,Action,punk,dog
41-50,10,4,-82.19104,44.65107,White,Pork,romantic comedy,Jazz,Cat
50+,12,4,-117.295425,43.255203,Copper,Vegan,Action,Hip Hop,Dog
50+,8,6,-82.19104,49.267132,Berry,Pork,comedy,Rock n roll,cat
50+,6,16,-82.19104,45.536945,Yellow,chicken,Comedy,Hip Hop,Dog
18-29,10,6,-82.19104,45.536945,Dark Pink,Vegetarian/Vegan,Action,pop,fish
18-29,8,14,-82.19104,43.897545,Blue Grey,Beef,drama,jazz,Fish
18-29,2,9,-117.295425,42.891411,Dark Red,Fish,drama,jazz,Dog
30-40,11,7,-82.19104,44.65107,Tan,Fish,Drama,hip hop,Dog
30-40,6,18,-82.19104,44.608246,Light Turquoise,Vegetarian/Vegan,comedy,World,Dog
30-40,14,2,-117.295425,33.039139,Violet,Beef,Documentary,Classical,Cat
30-40,9,14,-117.295425,42.778828,Plum,Pork,Comedy,Jazz,fish
18-29,11,11,-82.19104,46.829853,Blue Grey,Fish,comedy,world,dog
50+,4,2,-82.19104,45.427944,Green,chicken,romantic comedy,Pop,Dog
41-50,4,3,-82.19104,46.087818,Silver,Vegetarian,comedy,Jazz,Cat
50+,16,20,-104.93351,43.59531,Automatic,Fish,comedy,hip hop,other
18-29,2,10,-117.295425,43.159374,Sky Blue,Vegetarian/Vegan,drama,Latin,Other
41-50,2,4,-71.254028,50.27179,Light Orange,Pork,drama,indie,Other
18-29,2,14,-82.19104,46.087818,Orange,Vegan,Action,Rock n roll,Dog
30-40,1,9,-82.19104,49.882114,Light Turquoise,fish,drama,Pop,Fish
50+,16,3,-82.19104,46.829853,Pink,Vegan,Action,pop,Fish
50+,13,17,-82.19104,44.65107,Teal,fish,horror,Rock n roll,fish
18-29,9,14,-117.295425,42.891411,Dark Purple,Fish,horror,rap,fish
50+,1,14,-82.19104,48.098709,Light Blue,Vegan,horror,Latin,other
18-29,1,3,-82.19104,48.407326,Sea Green,Fish,Horror,punk,dog
41-50,11,12,-71.254028,52.146973,Bright Green,Vegetarian/Vegan,Drama,Jazz,cat
50+,8,10,-71.254028,52.146973,Dark Purple,Chicken,comedy,World,cat
18-29,4,8,-82.19104,45.964993,Very Light Yellow,fish,Action,Rock n roll,cat
30-40,11,16,-82.19104,43.6912,Magenta,chicken,Horror,Indie,other
18-29,3,10,-82.19104,46.490002,Lime,Pork,Romantic Comedy,pop,Fish
50+,8,13,-82.19104,46.490002,Rose,Vegetarian,Drama,World,dog
41-50,16,18,-71.254028,52.268112,Pink,chicken,Documentary,Hip Hop,cat
18-29,7,10,-117.295425,42.891411,Very Light Yellow,Pork,Drama,Rock n roll,fish
18-29,3,2,-82.19104,45.826653,Automatic,Vegetarian/Vegan,comedy,Classical,cat
41-50,8,4,-82.19104,49.895077,Turqoise,fish,Documentary,Rock n roll,Dog
41-50,4,14,-117.295425,43.159374,Light Turquoise,fish,Action,hip hop,Other
50+,9,18,-82.19104,48.407326,Light Green,Beef,horror,Rap,Other
50+,12,2,-82.19104,43.837208,Sea Green,Vegetarian,action,Indie,Dog
41-50,11,16,-82.19104,44.608246,Dark Yellow,fish,Drama,jazz,Fish
41-50,11,15,-82.19104,49.267132,Violet,chicken,Comedy,Jazz,cat
18-29,1,6,-71.254028,56.732014,Yellow,Pork,Documentary,pop,cat
30-40,13,3,-82.19104,46.803284,Blue Grey,chicken,Documentary,rap,Fish
18-29,11,3,-117.295425,42.317432,Dark Purple,Beef,Documentary,Indie,dog
50+,2,2,-82.19104,49.882114,Teal,Chicken,comedy,world,Other
41-50,6,12,-82.19104,43.6912,Dark Purple,Vegan,Documentary,Hip Hop,dog
41-50,15,18,-117.295425,42.992157,Pink,Vegan,Action,latin,Other
50+,1,9,-104.93351,43.59531,Bright Green,Beef,drama,Rock n roll,other
18-29,14,12,-82.19104,49.283764,Olive Green,Vegetarian/Vegan,Documentary,Jazz,dog
50+,16,1,-117.295425,33.039139,Green,Fish,Action,World,other
41-50,7,15,-71.254028,52.268112,Blue,Pork,Drama,Classical,Cat
50+,7,17,-82.19104,45.536945,Yellow,Vegetarian,Romantic Comedy,indie,dog
18-29,10,16,-82.19104,45.273918,Light Blue,Vegetarian,horror,Rock n roll,cat
30-40,2,14,-82.19104,46.829853,Copper,Fish,comedy,punk,cat
30-40,14,9,-82.19104,46.738228,Ocean Blue,chicken,action,latin,fish
41-50,16,14,-82.19104,43.837208,Ivory,Pork,Romantic Comedy,indie,Other
18-29,6,12,-117.295425,43.255203,Automatic,fish,Romantic Comedy,pop,Fish
30-40,7,19,-82.19104,49.165882,Olive Green,Vegetarian,drama,Jazz,fish
50+,6,17,-82.19104,49.267132,Tan,fish,romantic comedy,rap,Other
41-50,11,8,-117.295425,43.159374,Ivory,Chicken,action,Latin,Fish
50+,14,3,-71.254028,52.268112,Periwinkle,Pork,Romantic Comedy,Classical,fish
41-50,4,18,-82.19104,45.404476,Blue Grey,Beef,Romantic Comedy,World,Dog
50+,13,16,-104.93351,43.59531,Sky Blue,fish,Comedy,World,Other
50+,14,7,-71.254028,53.631611,Light Orange,fish,Romantic Comedy,latin,Fish
18-29,13,19,-71.254028,53.631611,Cyan,Chicken,Documentary,Jazz,fish
41-50,1,2,-82.19104,45.826653,Lavender,Vegetarian,Action,Punk,fish
50+,4,15,-82.19104,45.826653,Lime,Vegan,drama,Jazz,cat
30-40,14,3,-117.295425,42.778828,Copper,Beef,romantic comedy,hip hop,fish
50+,16,20,-104.93351,43.59531,Magenta,chicken,Documentary,Jazz,Other
41-50,1,20,-82.19104,46.829853,Bright Green,Beef,Romantic Comedy,Punk,fish
50+,8,18,-117.295425,42.404804,Gray,Vegetarian/Vegan,Documentary,Classical,dog
30-40,14,9,-117.295425,42.317432,Ocean Blue,Pork,Action,Pop,cat
18-29,9,13,-71.254028,50.27179,Periwinkle,chicken,Drama,Jazz,Dog
41-50,1,3,-71.254028,50.584435,Dark Teal,fish,Drama,Rock n roll,Other
50+,9,19,-117.295425,39.813019,Teal,Pork,Documentary,Indie,dog
30-40,9,18,-104.93351,43.683334,Teal,Vegetarian/Vegan,Comedy,Pop,Cat
18-29,13,20,-82.19104,49.166592,Orange,Vegan,Drama,Classical,fish
30-40,14,13,-82.19104,47.560539,Red,Vegetarian,Action,Punk,Cat
41-50,16,18,-71.254028,52.268112,Teal,chicken,comedy,Indie,cat
18-29,8,3,-82.19104,43.887501,White,Fish,comedy,Indie,fish
41-50,11,20,-117.295425,42.891411,Tan,Pork,Action,Indie,Fish
30-40,16,13,-82.19104,49.882114,Bright Green,Chicken,horror,rap,Cat
50+,3,19,-82.19104,49.166592,Light Orange,Vegetarian,Comedy,Jazz,Cat
18-29,15,14,-82.19104,49.895077,Chocolate,fish,Drama,Punk,Other
41-50,9,7,-82.19104,44.608246,Aqua,fish,Drama,punk,Dog
41-50,16,13,-82.19104,43.897545,Light Blue,Vegetarian,Comedy,Punk,cat
18-29,3,7,-82.19104,46.738228,Copper,Vegetarian/Vegan,drama,Classical,other
30-40,7,5,-82.19104,47.560539,Dark Blue,Pork,horror,rap,dog
50+,16,2,-82.19104,49.283764,Very Light Yellow,Chicken,romantic comedy,world,Fish
18-29,14,3,-117.295425,43.255203,Pale Blue,Pork,Horror,Punk,Dog
41-50,4,11,-82.19104,46.738228,Light Orange,Vegetarian/Vegan,Drama,Rap,Other
41-50,12,20,-82.19104,49.165882,Bright Green,Vegetarian,action,Classical,other
30-40,3,5,-82.19104,44.65107,Pale Blue,Vegan,comedy,Rock n roll,other
18-29,7,3,-82.19104,49.895077,Aqua,Vegan,Action,world,Dog
50+,10,14,-82.19104,44.65107,Gold,Vegetarian,Action,Hip Hop,other
30-40,4,17,-82.19104,48.098709,Dark Purple,Beef,comedy,Indie,Fish
50+,5,20,-82.19104,48.098709,Ocean Blue,Beef,Comedy,Classical,Cat
41-50,8,5,-82.19104,46.087818,Orange,Beef,Horror,punk,cat
50+,7,3,-82.19104,49.882114,Indigo,Vegan,Drama,Latin,dog
30-40,9,9,-82.19104,43.856098,Aqua,Vegetarian/Vegan,Comedy,Pop,Other
30-40,8,12,-82.19104,49.489536,Red,chicken,Drama,indie,Fish
18-29,4,4,-82.19104,45.536945,Green,Chicken,romantic comedy,Pop,cat
41-50,13,3,-82.19104,49.895077,Turqoise,chicken,Comedy,rap,Dog
41-50,16,17,-82.19104,48.098709,Tan,Vegetarian,horror,Classical,dog
41-50,3,9,-82.19104,49.165882,Gold,chicken,horror,punk,Cat
30-40,4,3,-117.295425,43.255203,White,fish,Horror,Rock n roll,Fish
30-40,11,12,-117.295425,33.039139,Turqoise,Fish,romantic comedy,Classical,fish
41-50,3,11,-82.19104,43.897545,Cyan,fish,Action,punk,Dog
18-29,11,10,-82.19104,43.856098,Light Orange,Pork,Action,Jazz,dog
41-50,12,1,-82.19104,43.856098,Grey,Vegetarian/Vegan,Documentary,Jazz,dog
18-29,11,3,-117.295425,42.891411,Pale Blue,Chicken,Comedy,Hip Hop,dog
18-29,13,3,-82.19104,49.15794,Pink,Fish,Action,world,Other
18-29,13,3,-82.19104,49.895077,Periwinkle,Chicken,drama,rap,Dog
50+,16,2,-117.295425,42.992157,Pale Blue,Vegetarian,Documentary,Indie,dog
30-40,14,18,-82.19104,43.837208,Dark Teal,Beef,drama,World,Other
30-40,11,7,-82.19104,49.283764,Red,Vegan,Horror,World,Cat
50+,2,5,-82.19104,49.489536,Blue Grey,fish,Documentary,Pop,other
50+,8,15,-104.93351,43.526646,Pink,chicken,comedy,pop,Fish
41-50,9,19,-82.19104,46.087818,Dark Purple,Beef,Drama,jazz,fish
50+,11,16,-117.295425,42.404804,Teal,Fish,Documentary,world,Cat
18-29,1,3,-82.19104,49.489536,Very Light Yellow,fish,Documentary,Latin,Dog
41-50,11,16,-117.295425,42.404804,Pale Blue,Beef,horror,jazz,fish
50+,16,15,-82.19104,43.887501,Sea Green,Beef,Action,Punk,other
30-40,3,9,-117.295425,42.404804,Aqua,Pork,Action,World,cat
50+,7,9,-117.295425,42.404804,Platinum,chicken,Documentary,rap,Fish
50+,15,19,-82.19104,45.273918,Cyan,Chicken,drama,punk,fish
30-40,12,16,-82.19104,47.560539,Aqua,Vegetarian/Vegan,drama,Rap,Other
41-50,15,15,-82.19104,45.427944,Copper,Vegetarian,Horror,Latin,fish
50+,13,16,-82.19104,45.964993,Dark Pink,Vegetarian/Vegan,Comedy,Rap,fish
50+,2,8,-82.19104,45.964993,Lime,Pork,horror,latin,Other
30-40,8,15,-82.19104,46.087818,Gray,Beef,Romantic Comedy,Rock n roll,other
18-29,6,9,-117.295425,42.778828,Silver,Chicken,romantic comedy,pop,other
18-29,11,7,-71.254028,50.584435,Tan,Vegetarian,Horror,Rock n roll,cat
50+,4,7,-82.19104,46.829853,Rose,Vegan,drama,Indie,Cat
41-50,1,1,-104.93351,43.683334,Grey,Vegan,Drama,hip hop,dog
50+,11,13,-82.19104,43.897545,Rose,Chicken,comedy,Indie,other
50+,8,4,-104.93351,43.526646,Magenta,Vegan,comedy,Pop,Fish
18-29,9,13,-117.295425,42.778828,Sky Blue,chicken,comedy,world,Cat
50+,8,11,-82.19104,44.389355,Bright Green,Vegan,Romantic Comedy,Punk,dog
30-40,5,14,-82.19104,43.897545,Dark Red,Vegan,Drama,Rock n roll,other
18-29,1,20,-82.19104,46.087818,Light Blue,Vegetarian,romantic comedy,punk,Other
18-29,3,9,-71.254028,53.631611,Turqoise,chicken,Action,Punk,dog
30-40,16,6,-82.19104,46.803284,Grey,fish,drama,rap,other
18-29,4,13,-82.19104,45.273918,Platinum,Vegetarian,Comedy,Latin,Other
18-29,12,20,-82.19104,46.803284,Dark Yellow,Beef,romantic comedy,Pop,Fish
50+,10,13,-82.19104,48.407326,Gold,Beef,Horror,indie,other
18-29,8,10,-82.19104,45.427944,Yellow,Vegetarian,Action,Classical,Fish
41-50,11,8,-82.19104,43.837208,Grey,Beef,action,pop,Fish
41-50,3,6,-82.19104,49.882114,Light Blue,Beef,drama,Rap,cat
18-29,13,4,-82.19104,44.389355,Sky Blue,Beef,drama,Indie,cat
30-40,3,10,-117.295425,42.778828,Cyan,chicken,Drama,indie,other
41-50,10,17,-82.19104,46.087818,Sea Green,Fish,drama,World,cat
50+,7,19,-117.295425,39.813019,Dark Blue,Beef,Documentary,Hip Hop,Other
30-40,15,20,-82.19104,48.407326,Ocean Blue,Beef,romantic comedy,Latin,fish
41-50,15,18,-82.19104,49.166592,Periwinkle,Beef,action,Latin,dog
