Age Range,Weekly Hours of TV,Weekly Hours on Social Media,Longitude,Latitude,Favourite Color,Favourite Protein,Favourite Film Genre,"Favourite Music Genre
 ",Favourite Pet
50+,4,11,50.584435,-71.254028,Berry,Fish,Horror,rap,Fish
50+,9,2,46.829853,-82.19104,Grey,Chicken,Documentary,jazz,other
30-40,9,7,45.536945,-82.19104,White,chicken,romantic comedy,Latin,other
50+,8,17,52.146973,-71.254028,Lime,Pork,horror,world,Dog
50+,5,16,47.560539,-82.19104,Blue Grey,chicken,horror,pop,other
41-50,4,8,52.268112,-71.254028,Light Blue,Pork,action,Jazz,Other
41-50,12,15,52.146973,-71.254028,Plum,Beef,horror,hip hop,other
50+,3,3,46.738228,-82.19104,Light Blue,Beef,Documentary,hip hop,Fish
41-50,11,17,50.584435,-71.254028,Silver,Vegetarian/Vegan,horror,Jazz,Other
18-29,9,1,44.389355,-82.19104,Lime,fish,romantic comedy,world,Other
41-50,4,8,42.317432,-117.295425,Aqua,fish,comedy,Indie,Fish
18-29,12,10,43.59531,-104.93351,Chocolate,Fish,Action,pop,other
30-40,2,19,49.15794,-82.19104,Light Green,Fish,drama,indie,Cat
18-29,14,5,42.317432,-117.295425,Teal,Vegetarian,Horror,pop,Cat
50+,1,20,49.267132,-82.19104,Blue,Vegetarian,Documentary,world,cat
50+,4,16,45.964993,-82.19104,Pink,Beef,drama,rap,Dog
18-29,14,19,50.27179,-71.254028,Lavender,Beef,comedy,Punk,Other
41-50,14,10,46.829853,-82.19104,Light Green,Beef,Documentary,jazz,cat
41-50,6,7,47.560539,-82.19104,Ice Blue,Pork,drama,pop,fish
50+,15,20,42.404804,-117.295425,Lime,Chicken,Drama,World,Other
50+,13,20,56.732014,-71.254028,White,Vegan,Drama,punk,cat
41-50,13,14,44.389355,-82.19104,Chocolate,Fish,Comedy,Classical,fish
50+,13,6,43.683334,-104.93351,Berry,Vegetarian/Vegan,horror,Indie,Fish
50+,10,1,42.404804,-117.295425,Very Light Yellow,fish,horror,hip hop,Dog
41-50,3,18,47.560539,-82.19104,Lime,Pork,Romantic Comedy,latin,Fish
18-29,1,16,49.895077,-82.19104,Dark Blue,fish,horror,Hip Hop,cat
41-50,5,1,50.584435,-71.254028,Ivory,Beef,horror,world,cat
18-29,14,8,42.404804,-117.295425,Automatic,Beef,comedy,Classical,cat
30-40,14,15,43.59531,-104.93351,Red,Pork,drama,punk,other
50+,15,15,42.778828,-117.295425,Sea Green,Vegetarian,Comedy,Pop,Dog
18-29,15,3,43.59531,-104.93351,Light Green,Vegetarian/Vegan,Horror,Rap,fish
18-29,14,20,45.404476,-82.19104,Brown,Chicken,romantic comedy,World,dog
50+,11,17,49.165882,-82.19104,Plum,Vegetarian,comedy,Rock n roll,Fish
18-29,4,8,43.255203,-117.295425,Blue,Fish,romantic comedy,Latin,other
50+,1,10,49.882114,-82.19104,Brown,Pork,drama,Latin,cat
50+,4,1,49.489536,-82.19104,Olive Green,Beef,romantic comedy,indie,fish
30-40,12,12,43.255203,-117.295425,Copper,fish,Comedy,Pop,dog
18-29,3,20,43.59531,-104.93351,Red,Beef,comedy,hip hop,Fish
50+,14,19,44.389355,-82.19104,Lavender,Vegetarian,Documentary,Classical,other
41-50,15,13,45.273918,-82.19104,Lavender,Fish,action,Indie,Other
30-40,11,10,44.389355,-82.19104,Pale Blue,Beef,Drama,Pop,Other
18-29,6,16,43.255203,-117.295425,Blue Grey,Beef,horror,Punk,other
50+,10,7,46.803284,-82.19104,Dark Yellow,Vegetarian,Comedy,Rap,dog
30-40,10,16,49.166592,-82.19104,Dark Purple,Vegan,action,indie,dog
30-40,1,9,44.389355,-82.19104,Olive Green,Beef,Comedy,Classical,other
30-40,9,17,45.964993,-82.19104,Grey,Beef,Action,World,dog
41-50,15,12,49.267132,-82.19104,Light Turquoise,Vegetarian/Vegan,Horror,rap,Dog
30-40,2,20,43.6912,-82.19104,Orange,Beef,Drama,Rap,Dog
50+,10,17,49.166592,-82.19104,Coral,Vegetarian,comedy,Rap,cat
30-40,3,1,49.895077,-82.19104,Dark Red,Vegetarian,Horror,Latin,dog
41-50,7,15,42.891411,-117.295425,Teal,Beef,action,indie,Other
30-40,11,3,44.65107,-82.19104,Dark Teal,Beef,Comedy,world,fish
30-40,5,6,43.856098,-82.19104,Platinum,Vegetarian,Comedy,punk,Cat
41-50,4,12,43.897545,-82.19104,Light Blue,Beef,romantic comedy,Latin,cat
50+,1,10,45.536945,-82.19104,Ice Blue,Chicken,Documentary,indie,other
41-50,15,8,52.146973,-71.254028,Ice Blue,Beef,comedy,rap,other
50+,9,19,43.887501,-82.19104,Periwinkle,Beef,romantic comedy,World,Cat
18-29,15,15,52.268112,-71.254028,Blue,fish,action,latin,fish
50+,16,5,43.59531,-104.93351,Sky Blue,Beef,Romantic Comedy,jazz,Fish
30-40,1,16,45.404476,-82.19104,Bright Green,Chicken,Horror,hip hop,Fish
41-50,10,8,50.27179,-71.254028,Blue Grey,Pork,Romantic Comedy,World,dog
41-50,11,6,49.882114,-82.19104,Green,fish,Documentary,Rock n roll,cat
18-29,11,10,49.267132,-82.19104,Light Turquoise,Vegan,Documentary,latin,cat
41-50,5,6,43.897545,-82.19104,Yellow,Vegan,drama,Rap,fish
18-29,6,5,43.897545,-82.19104,Dark Purple,fish,Documentary,Punk,cat
30-40,16,2,46.490002,-82.19104,Black,Vegetarian/Vegan,comedy,jazz,cat
41-50,4,4,49.895077,-82.19104,Automatic,Vegetarian,Action,Pop,other
30-40,12,9,47.560539,-82.19104,Dark Yellow,Vegetarian,romantic comedy,pop,dog
41-50,11,10,50.27179,-71.254028,Cyan,Fish,Action,Classical,Cat
18-29,14,6,45.427944,-82.19104,Light Orange,Vegetarian,Documentary,World,cat
50+,10,6,45.273918,-82.19104,Ivory,Pork,Horror,Classical,Cat
30-40,14,3,49.165882,-82.19104,Automatic,Fish,romantic comedy,Pop,fish
50+,7,20,47.560539,-82.19104,Indigo,Fish,Documentary,Rock n roll,Cat
18-29,13,18,44.608246,-82.19104,Pink,Vegetarian,Action,world,Cat
50+,9,18,49.489536,-82.19104,Orange,Vegetarian,romantic comedy,Punk,cat
50+,9,14,42.891411,-117.295425,Gold,Beef,Romantic Comedy,Latin,dog
41-50,8,9,48.098709,-82.19104,Light Turquoise,Chicken,Documentary,Pop,fish
18-29,1,14,43.897545,-82.19104,Turqoise,Vegetarian,horror,Rap,cat
50+,13,4,50.584435,-71.254028,Tan,chicken,horror,Rap,dog
18-29,11,9,48.098709,-82.19104,Automatic,Vegetarian/Vegan,romantic comedy,Hip Hop,cat
41-50,13,18,49.283764,-82.19104,Ivory,fish,action,Punk,other
50+,3,9,47.560539,-82.19104,Dark Green,Vegetarian,Documentary,indie,cat
30-40,6,14,50.584435,-71.254028,Indigo,fish,romantic comedy,Rock n roll,other
50+,14,11,46.803284,-82.19104,Sea Green,Vegetarian/Vegan,romantic comedy,punk,Dog
30-40,6,20,33.039139,-117.295425,Copper,Chicken,horror,rap,Cat
41-50,10,5,43.328674,-104.93351,Brown,Chicken,Documentary,Latin,other
30-40,13,18,45.536945,-82.19104,Magenta,Pork,Documentary,pop,Other
41-50,6,3,50.584435,-71.254028,Violet,chicken,action,Rap,Other
41-50,5,19,46.738228,-82.19104,Berry,Beef,drama,Classical,fish
41-50,14,5,42.778828,-117.295425,Black,Vegan,Documentary,Classical,Dog
50+,11,18,39.813019,-117.295425,Dark Pink,Pork,Action,Rap,dog
30-40,14,15,49.165882,-82.19104,Light Blue,Fish,Drama,Classical,Cat
30-40,8,16,52.268112,-71.254028,Gray,Vegan,Romantic Comedy,world,other
41-50,14,7,43.526646,-104.93351,Berry,chicken,Action,Rock n roll,Fish
41-50,11,9,43.59531,-104.93351,Tan,Vegan,action,Latin,Fish
50+,16,10,45.404476,-82.19104,Ivory,Vegan,Action,indie,cat
41-50,14,16,45.404476,-82.19104,Dark Red,Vegetarian/Vegan,Horror,hip hop,other
18-29,2,14,43.887501,-82.19104,Dark Red,Vegetarian,Comedy,punk,fish
50+,10,17,49.165882,-82.19104,Platinum,Fish,Romantic Comedy,jazz,Fish
30-40,12,12,46.490002,-82.19104,Coral,Fish,comedy,Latin,other
41-50,1,16,52.268112,-71.254028,Periwinkle,Vegetarian,romantic comedy,Pop,dog
41-50,1,13,33.039139,-117.295425,Grey,Chicken,comedy,jazz,other
50+,3,17,46.490002,-82.19104,Teal,Vegan,Comedy,rap,other
18-29,10,13,42.992157,-117.295425,Pink,Vegetarian/Vegan,Romantic Comedy,rap,Dog
30-40,7,1,42.404804,-117.295425,Light Turquoise,Vegetarian,Comedy,world,other
18-29,12,19,45.826653,-82.19104,Pink,Vegetarian/Vegan,Action,Pop,cat
41-50,2,12,53.631611,-71.254028,Dark Blue,Vegetarian,comedy,pop,Fish
30-40,1,20,49.15794,-82.19104,Blue Grey,Pork,comedy,Classical,dog
30-40,10,15,43.159374,-117.295425,Violet,Fish,Romantic Comedy,jazz,Dog
41-50,3,4,43.897545,-82.19104,Pink,Vegetarian,Horror,Rock n roll,cat
41-50,15,14,42.778828,-117.295425,Red,Fish,Romantic Comedy,Rap,other
50+,16,1,49.165882,-82.19104,Yellow,fish,comedy,Jazz,fish
50+,12,1,46.829853,-82.19104,Dark Blue,Beef,Drama,pop,fish
18-29,6,5,43.837208,-82.19104,Pale Blue,Beef,drama,Hip Hop,other
30-40,14,10,49.283764,-82.19104,Dark Green,Beef,horror,Indie,Fish
50+,14,15,46.087818,-82.19104,Ice Blue,Beef,horror,pop,dog
18-29,12,19,49.895077,-82.19104,Magenta,Vegan,comedy,punk,Cat
50+,11,13,42.992157,-117.295425,Yellow,Pork,Action,indie,Fish
30-40,7,15,46.803284,-82.19104,Blue,Vegetarian/Vegan,Documentary,Latin,other
50+,6,15,39.813019,-117.295425,Pale Blue,Fish,Comedy,Rock n roll,dog
50+,10,13,45.404476,-82.19104,Grey,Pork,comedy,Latin,Cat
30-40,16,6,42.992157,-117.295425,Copper,Beef,Action,Classical,Cat
18-29,14,8,43.856098,-82.19104,Very Light Yellow,Vegan,Documentary,Rock n roll,fish
18-29,10,1,45.964993,-82.19104,Ocean Blue,Fish,Documentary,Classical,Fish
41-50,11,10,44.389355,-82.19104,Platinum,fish,Drama,Rock n roll,fish
41-50,10,4,49.15794,-82.19104,Gray,Vegetarian,horror,pop,Cat
30-40,11,6,49.165882,-82.19104,Indigo,chicken,horror,Hip Hop,Dog
41-50,14,20,45.964993,-82.19104,Chocolate,fish,Action,world,fish
50+,8,12,43.683334,-104.93351,Rose,Vegan,Horror,Punk,Cat
50+,8,19,43.887501,-82.19104,Light Green,Vegetarian/Vegan,Drama,Jazz,Fish
30-40,5,14,45.826653,-82.19104,White,fish,Comedy,latin,Other
18-29,7,4,43.856098,-82.19104,Dark Teal,Vegetarian,Comedy,Pop,other
18-29,9,5,44.65107,-82.19104,Gray,Vegetarian,Drama,rap,fish
41-50,1,20,43.526646,-104.93351,Lavender,Vegetarian/Vegan,Comedy,latin,fish
41-50,7,12,47.560539,-82.19104,Dark Blue,Vegan,horror,Hip Hop,dog
18-29,12,5,43.526646,-104.93351,Blue,Vegan,action,Classical,Cat
50+,15,15,44.608246,-82.19104,Light Green,fish,Documentary,world,Other
18-29,14,7,56.732014,-71.254028,Plum,Vegetarian,Comedy,World,cat
18-29,5,19,52.146973,-71.254028,Brown,Vegetarian/Vegan,Documentary,Hip Hop,dog
18-29,8,15,43.837208,-82.19104,Magenta,Fish,Horror,Latin,other
18-29,11,16,49.882114,-82.19104,Bright Green,Vegetarian,Documentary,Pop,Other
50+,11,12,46.803284,-82.19104,White,Fish,Drama,Classical,other
30-40,9,2,43.328674,-104.93351,Light Turquoise,Vegetarian,comedy,latin,dog
18-29,1,4,48.407326,-82.19104,Blue Grey,Vegetarian/Vegan,Documentary,Jazz,cat
41-50,12,19,46.490002,-82.19104,Olive Green,Vegan,horror,world,dog
50+,5,19,45.404476,-82.19104,Automatic,Vegetarian,action,latin,Dog
18-29,14,10,42.404804,-117.295425,Lavender,Chicken,action,Rock n roll,dog
50+,3,15,42.891411,-117.295425,Pale Blue,Vegetarian,Documentary,latin,cat
50+,3,20,44.389355,-82.19104,Pale Blue,Vegetarian/Vegan,Horror,Indie,Fish
41-50,10,19,46.829853,-82.19104,White,Vegan,Comedy,World,Dog
18-29,9,17,52.146973,-71.254028,Grey,Vegan,romantic comedy,Rock n roll,cat
50+,10,5,53.631611,-71.254028,Dark Purple,Fish,Comedy,Rock n roll,Other
30-40,1,16,56.732014,-71.254028,Gray,Vegan,action,punk,other
30-40,12,20,45.273918,-82.19104,Turqoise,Fish,Documentary,hip hop,Other
50+,3,13,45.536945,-82.19104,Tan,fish,romantic comedy,Rock n roll,Dog
50+,16,3,49.166592,-82.19104,Red,Beef,action,latin,Dog
41-50,10,1,53.631611,-71.254028,Automatic,Beef,Comedy,Rock n roll,cat
30-40,9,6,49.895077,-82.19104,Dark Purple,Vegetarian/Vegan,comedy,latin,Other
30-40,12,3,43.887501,-82.19104,Dark Purple,Vegetarian/Vegan,Comedy,Punk,Dog
50+,6,6,44.608246,-82.19104,Rose,Chicken,Documentary,Rock n roll,dog
18-29,16,20,46.803284,-82.19104,Indigo,Vegan,action,Pop,fish
30-40,9,6,49.267132,-82.19104,Automatic,Vegetarian/Vegan,Action,rap,cat
50+,1,14,46.490002,-82.19104,Rose,Vegetarian,action,Indie,dog
50+,12,16,49.267132,-82.19104,Dark Red,Vegetarian/Vegan,Horror,Rock n roll,Cat
50+,7,17,49.882114,-82.19104,Dark Blue,Vegetarian/Vegan,Documentary,latin,Fish
18-29,16,18,47.560539,-82.19104,Olive Green,Vegetarian/Vegan,Horror,World,fish
50+,2,4,48.407326,-82.19104,Dark Red,chicken,Documentary,Classical,other
41-50,6,5,44.608246,-82.19104,Turqoise,Vegetarian,Documentary,Punk,Dog
30-40,1,13,45.427944,-82.19104,Rose,Chicken,comedy,Classical,Other
41-50,11,6,49.489536,-82.19104,Dark Blue,Vegetarian,Documentary,Jazz,Cat
41-50,13,11,48.098709,-82.19104,Indigo,Beef,action,pop,other
30-40,1,4,46.803284,-82.19104,Ocean Blue,Vegetarian,horror,latin,fish
30-40,13,13,45.964993,-82.19104,Red,Beef,comedy,World,dog
30-40,4,20,43.59531,-104.93351,Black,Beef,romantic comedy,Rock n roll,dog
18-29,14,13,49.283764,-82.19104,Coral,Beef,Comedy,Classical,Dog
30-40,14,11,44.389355,-82.19104,Very Light Yellow,fish,horror,latin,Dog
18-29,5,18,49.283764,-82.19104,Grey,fish,Documentary,indie,fish
30-40,9,1,43.837208,-82.19104,Green,Beef,Horror,latin,Fish
41-50,4,10,46.490002,-82.19104,Red,Vegetarian,romantic comedy,Rock n roll,Cat
30-40,7,1,47.560539,-82.19104,Turqoise,Chicken,Horror,Rock n roll,Cat
50+,12,13,42.317432,-117.295425,Dark Pink,Pork,Romantic Comedy,jazz,fish
30-40,12,7,46.803284,-82.19104,Red,Vegan,Documentary,Hip Hop,Cat
50+,1,6,42.778828,-117.295425,Copper,chicken,action,pop,fish
50+,2,10,43.159374,-117.295425,Dark Purple,chicken,romantic comedy,latin,other
30-40,8,1,44.65107,-82.19104,Turqoise,fish,action,Rock n roll,Fish
50+,15,15,46.738228,-82.19104,Light Blue,fish,Comedy,Classical,other
30-40,12,2,49.895077,-82.19104,Brown,Vegetarian,Documentary,Rock n roll,Other
41-50,1,10,42.891411,-117.295425,Lavender,Vegetarian,Romantic Comedy,hip hop,cat
41-50,6,3,49.267132,-82.19104,Light Turquoise,Vegan,action,Pop,Other
50+,9,13,44.608246,-82.19104,Lime,Fish,drama,Rock n roll,cat
50+,7,11,42.778828,-117.295425,Aqua,Chicken,Action,Indie,Other
50+,5,13,39.813019,-117.295425,Silver,Beef,Action,Pop,other
41-50,11,12,42.992157,-117.295425,Yellow,Beef,Drama,indie,fish
18-29,6,12,42.778828,-117.295425,Plum,Vegan,horror,pop,Other
30-40,4,10,42.778828,-117.295425,Dark Blue,Beef,horror,Indie,Cat
18-29,4,4,49.15794,-82.19104,Very Light Yellow,Pork,romantic comedy,Jazz,Cat
30-40,10,20,42.992157,-117.295425,Very Light Yellow,fish,Horror,Pop,other
30-40,10,10,50.584435,-71.254028,Dark Blue,chicken,Drama,latin,Other
50+,8,10,43.255203,-117.295425,Dark Pink,fish,drama,Rock n roll,fish
41-50,7,3,49.15794,-82.19104,Orange,Vegan,romantic comedy,latin,cat
30-40,9,15,45.826653,-82.19104,Green,Beef,action,Classical,cat
18-29,8,13,42.778828,-117.295425,Brown,Beef,Comedy,pop,Dog
30-40,6,19,49.15794,-82.19104,White,Fish,Drama,world,fish
41-50,14,2,43.897545,-82.19104,Red,Vegetarian/Vegan,Action,Rock n roll,Cat
18-29,15,17,43.837208,-82.19104,Dark Purple,Fish,comedy,Rock n roll,Cat
41-50,7,9,49.489536,-82.19104,Light Orange,Beef,Action,hip hop,dog
18-29,3,12,43.856098,-82.19104,Bright Green,Pork,action,world,Other
41-50,9,8,48.098709,-82.19104,Grey,fish,drama,indie,fish
50+,13,19,43.6912,-82.19104,Chocolate,Chicken,Comedy,World,other
41-50,13,19,45.536945,-82.19104,Automatic,Chicken,horror,Rock n roll,Cat
41-50,15,8,49.882114,-82.19104,Blue,Fish,Documentary,Indie,Dog
50+,5,16,45.273918,-82.19104,Rose,chicken,action,punk,dog
41-50,7,6,52.268112,-71.254028,Gray,Vegetarian/Vegan,Drama,Rap,dog
18-29,9,4,49.882114,-82.19104,Lime,fish,horror,hip hop,other
30-40,2,13,49.166592,-82.19104,Periwinkle,fish,Horror,jazz,dog
18-29,16,16,48.098709,-82.19104,Grey,Fish,drama,Indie,Dog
41-50,1,1,49.166592,-82.19104,Pink,fish,Comedy,Rock n roll,Fish
18-29,10,3,46.829853,-82.19104,Teal,chicken,Documentary,World,Cat
30-40,2,14,43.683334,-104.93351,Olive Green,Vegetarian,Horror,pop,dog
18-29,4,5,43.897545,-82.19104,Yellow,Fish,Documentary,Latin,Other
30-40,3,12,43.59531,-104.93351,Ice Blue,Vegetarian/Vegan,Comedy,Rap,dog
50+,4,10,47.560539,-82.19104,Dark Green,chicken,Horror,jazz,fish
18-29,14,17,43.59531,-104.93351,Plum,Pork,Romantic Comedy,Hip Hop,fish
30-40,4,8,49.489536,-82.19104,Pink,Beef,action,Rock n roll,dog
30-40,6,4,49.895077,-82.19104,Bright Green,Beef,comedy,rap,fish
50+,8,3,56.732014,-71.254028,Aqua,chicken,Action,Hip Hop,cat
41-50,13,14,47.560539,-82.19104,Sky Blue,Chicken,Drama,Hip Hop,other
30-40,3,2,48.098709,-82.19104,Copper,Vegetarian,comedy,hip hop,cat
18-29,12,6,45.273918,-82.19104,Ocean Blue,Beef,action,Rock n roll,Fish
50+,8,13,49.895077,-82.19104,Rose,chicken,comedy,Rock n roll,Fish
50+,12,20,43.856098,-82.19104,Cyan,fish,Romantic Comedy,Rock n roll,cat
18-29,12,11,43.59531,-104.93351,Sky Blue,Beef,drama,rap,other
18-29,2,12,39.813019,-117.295425,Dark Yellow,Vegetarian,Documentary,Classical,fish
18-29,7,20,43.887501,-82.19104,Yellow,Vegan,romantic comedy,World,dog
41-50,7,15,52.146973,-71.254028,Very Light Yellow,Fish,Horror,latin,other
50+,1,5,49.489536,-82.19104,Ocean Blue,fish,horror,World,Fish
18-29,2,12,43.328674,-104.93351,Black,Pork,Action,Classical,Cat
50+,13,14,49.166592,-82.19104,Light Blue,Vegetarian/Vegan,comedy,World,cat
50+,9,10,43.526646,-104.93351,Dark Red,Pork,comedy,Jazz,dog
18-29,3,4,46.803284,-82.19104,Light Blue,Vegetarian,Action,indie,dog
30-40,12,18,45.273918,-82.19104,Gray,Vegan,Horror,Jazz,cat
30-40,13,4,47.560539,-82.19104,Bright Green,Vegan,horror,World,Other
18-29,3,10,47.560539,-82.19104,Aqua,Beef,horror,World,Cat
30-40,12,14,46.803284,-82.19104,Dark Teal,Chicken,drama,Hip Hop,fish
41-50,12,3,49.489536,-82.19104,Chocolate,Fish,horror,hip hop,fish
41-50,12,1,39.813019,-117.295425,Light Blue,Fish,romantic comedy,Pop,dog
50+,16,16,45.273918,-82.19104,Light Orange,Chicken,Action,indie,Other
18-29,12,8,42.778828,-117.295425,Berry,Chicken,Drama,Classical,Fish
30-40,1,7,47.560539,-82.19104,Gold,Fish,Documentary,Latin,Other
41-50,5,3,44.65107,-82.19104,Magenta,Fish,Horror,Jazz,Dog
30-40,16,19,47.560539,-82.19104,Grey,fish,Documentary,World,cat
50+,5,6,49.882114,-82.19104,Orange,Fish,Romantic Comedy,punk,Fish
18-29,14,4,43.328674,-104.93351,Magenta,fish,Documentary,Rock n roll,Cat
18-29,8,10,42.778828,-117.295425,Gold,Vegan,Comedy,hip hop,Cat
